Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/03,TELUK MENEGUN,SEKOLAH KEBANGSAAN TELOK MENEGON KLANG,4,297,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,165,UMNO,LOKMAN NOOR BIN ADAM,128,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,295,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/03,TELUK MENEGUN,SEKOLAH KEBANGSAAN TELOK MENEGON KLANG,5,284,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,162,UMNO,LOKMAN NOOR BIN ADAM,121,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,284,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/03,TELUK MENEGUN,SEKOLAH KEBANGSAAN TELOK MENEGON KLANG,6,276,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,158,UMNO,LOKMAN NOOR BIN ADAM,115,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,273,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/04,LLN CONNOUGHT BRIDGE,SEKOLAH RENDAH AGAMA HAJAH FATIMAH KAMPONG DATOK DAGANG KELANG,1,129,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,75,UMNO,LOKMAN NOOR BIN ADAM,53,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,128,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/04,LLN CONNOUGHT BRIDGE,SEKOLAH RENDAH AGAMA HAJAH FATIMAH KAMPONG DATOK DAGANG KELANG,2,327,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,202,UMNO,LOKMAN NOOR BIN ADAM,123,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,326,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/04,LLN CONNOUGHT BRIDGE,SEKOLAH RENDAH AGAMA HAJAH FATIMAH KAMPONG DATOK DAGANG KELANG,3,342,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,246,UMNO,LOKMAN NOOR BIN ADAM,96,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,342,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/04,LLN CONNOUGHT BRIDGE,SEKOLAH RENDAH AGAMA HAJAH FATIMAH KAMPONG DATOK DAGANG KELANG,4,245,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,151,UMNO,LOKMAN NOOR BIN ADAM,92,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,243,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/05,KAMPUNG PANDAN,SEKOLAH AGAMA RAKYAT (KAFA INTEGRASI) KAMPUNG PANDAN,1,137,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,47,UMNO,LOKMAN NOOR BIN ADAM,87,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,135,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/05,KAMPUNG PANDAN,SEKOLAH AGAMA RAKYAT (KAFA INTEGRASI) KAMPUNG PANDAN,2,208,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,108,UMNO,LOKMAN NOOR BIN ADAM,100,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,208,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/05,KAMPUNG PANDAN,SEKOLAH AGAMA RAKYAT (KAFA INTEGRASI) KAMPUNG PANDAN,3,193,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,97,UMNO,LOKMAN NOOR BIN ADAM,95,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,192,1,0
