TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4_UNDI,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
11,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/03,LADANG SOUTH MALAYA,SEKOLAH KEBANGSAAN PARIT HAJI ADNAN,1,259,MCA,WEE JECK SENG,179,PPBM,HAJI KARMAINE BIN  SARDINI,54,GERAKAN,WENDY SUBRAMANIAM,13,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,253,6,0
12,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/03,LADANG SOUTH MALAYA,SEKOLAH KEBANGSAAN PARIT HAJI ADNAN,2,284,MCA,WEE JECK SENG,209,PPBM,HAJI KARMAINE BIN  SARDINI,55,GERAKAN,WENDY SUBRAMANIAM,8,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,277,6,1
13,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/03,LADANG SOUTH MALAYA,SEKOLAH KEBANGSAAN PARIT HAJI ADNAN,3,330,MCA,WEE JECK SENG,253,PPBM,HAJI KARMAINE BIN  SARDINI,64,GERAKAN,WENDY SUBRAMANIAM,2,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,324,6,0
14,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/03,LADANG SOUTH MALAYA,SEKOLAH KEBANGSAAN PARIT HAJI ADNAN,4,356,MCA,WEE JECK SENG,269,PPBM,HAJI KARMAINE BIN  SARDINI,62,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,20,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,353,3,0
15,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/04,MELAYU RAYA,SEKOLAH KEBANGSAAN MELAYU RAYA,1,260,MCA,WEE JECK SENG,213,PPBM,HAJI KARMAINE BIN  SARDINI,30,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,253,7,0
16,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/04,MELAYU RAYA,SEKOLAH KEBANGSAAN MELAYU RAYA,2,310,MCA,WEE JECK SENG,246,PPBM,HAJI KARMAINE BIN  SARDINI,51,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,306,4,0
17,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/04,MELAYU RAYA,SEKOLAH KEBANGSAAN MELAYU RAYA,3,314,MCA,WEE JECK SENG,234,PPBM,HAJI KARMAINE BIN  SARDINI,60,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,17,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,311,3,0
18,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/04,MELAYU RAYA,SEKOLAH KEBANGSAAN MELAYU RAYA,4,369,MCA,WEE JECK SENG,272,PPBM,HAJI KARMAINE BIN  SARDINI,70,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,22,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,365,4,0
19,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/05,KAMPONG LUBOK SAWAH,SEKOLAH KEBANGSAAN KAMPONG SAWAH,1,260,MCA,WEE JECK SENG,201,PPBM,HAJI KARMAINE BIN  SARDINI,42,GERAKAN,WENDY SUBRAMANIAM,5,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,253,7,0
20,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/05,KAMPONG LUBOK SAWAH,SEKOLAH KEBANGSAAN KAMPONG SAWAH,2,251,MCA,WEE JECK SENG,189,PPBM,HAJI KARMAINE BIN  SARDINI,50,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,247,4,0
21,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/05,KAMPONG LUBOK SAWAH,SEKOLAH KEBANGSAAN KAMPONG SAWAH,3,291,MCA,WEE JECK SENG,205,PPBM,HAJI KARMAINE BIN  SARDINI,73,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,287,4,0
22,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/05,KAMPONG LUBOK SAWAH,SEKOLAH KEBANGSAAN KAMPONG SAWAH,4,304,MCA,WEE JECK SENG,233,PPBM,HAJI KARMAINE BIN  SARDINI,53,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,14,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,301,3,0
23,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,1,267,MCA,WEE JECK SENG,207,PPBM,HAJI KARMAINE BIN  SARDINI,36,GERAKAN,WENDY SUBRAMANIAM,10,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,259,8,0
24,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,2,296,MCA,WEE JECK SENG,235,PPBM,HAJI KARMAINE BIN  SARDINI,43,GERAKAN,WENDY SUBRAMANIAM,6,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,288,8,0
25,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,3,399,MCA,WEE JECK SENG,273,PPBM,HAJI KARMAINE BIN  SARDINI,100,GERAKAN,WENDY SUBRAMANIAM,7,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,391,8,0
26,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,4,432,MCA,WEE JECK SENG,269,PPBM,HAJI KARMAINE BIN  SARDINI,121,GERAKAN,WENDY SUBRAMANIAM,14,BERJASA,DATO' DR  BADHRULHISHAM,12,BEBAS - KUNCI,DR. ANG CHUAN LOCK,11,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,427,5,0
27,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,5,434,MCA,WEE JECK SENG,281,PPBM,HAJI KARMAINE BIN  SARDINI,118,GERAKAN,WENDY SUBRAMANIAM,12,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,8,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,429,5,0
28,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,6,448,MCA,WEE JECK SENG,287,PPBM,HAJI KARMAINE BIN  SARDINI,112,GERAKAN,WENDY SUBRAMANIAM,11,BERJASA,DATO' DR  BADHRULHISHAM,29,BEBAS - KUNCI,DR. ANG CHUAN LOCK,6,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,445,3,0
29,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/06,TENGGAYON,SEKOLAH KEBANGSAAN SERI BUNIAN,7,435,MCA,WEE JECK SENG,299,PPBM,HAJI KARMAINE BIN  SARDINI,110,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,11,BEBAS - KUNCI,DR. ANG CHUAN LOCK,9,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,432,3,0
30,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/07,PENGKALAN RAJA PONTIAN,SEKOLAH KEBANGSAAN PENGKALAN RAJA,1,271,MCA,WEE JECK SENG,217,PPBM,HAJI KARMAINE BIN  SARDINI,41,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,265,6,0
31,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/07,PENGKALAN RAJA PONTIAN,SEKOLAH KEBANGSAAN PENGKALAN RAJA,2,301,MCA,WEE JECK SENG,234,PPBM,HAJI KARMAINE BIN  SARDINI,47,GERAKAN,WENDY SUBRAMANIAM,5,BERJASA,DATO' DR  BADHRULHISHAM,12,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,298,3,0
32,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/07,PENGKALAN RAJA PONTIAN,SEKOLAH KEBANGSAAN PENGKALAN RAJA,3,317,MCA,WEE JECK SENG,228,PPBM,HAJI KARMAINE BIN  SARDINI,71,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,7,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,309,8,0
33,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/07,PENGKALAN RAJA PONTIAN,SEKOLAH KEBANGSAAN PENGKALAN RAJA,4,322,MCA,WEE JECK SENG,216,PPBM,HAJI KARMAINE BIN  SARDINI,74,GERAKAN,WENDY SUBRAMANIAM,10,BERJASA,DATO' DR  BADHRULHISHAM,18,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,320,2,0
34,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/07,PENGKALAN RAJA PONTIAN,SEKOLAH KEBANGSAAN PENGKALAN RAJA,5,332,MCA,WEE JECK SENG,242,PPBM,HAJI KARMAINE BIN  SARDINI,63,GERAKAN,WENDY SUBRAMANIAM,5,BERJASA,DATO' DR  BADHRULHISHAM,19,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,330,2,0
35,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/08,BANDAR PEKAN NENAS BARAT,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD YUNOS SULAIMAN,1,219,MCA,WEE JECK SENG,133,PPBM,HAJI KARMAINE BIN  SARDINI,56,GERAKAN,WENDY SUBRAMANIAM,21,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,213,6,0
